Filename;Laplacian Variance
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140343.png;301
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140029.png;301
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130151.png;301
E_1.19m_4.86s_NNW_14.1kmh_hm_20241114_160412.png;301
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121916.png;301
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100451.png;300
E_0.98m_5.37s_NE_12.7kmh_ml_20241112_170351.png;300
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140315.png;300
ESE_0.83m_4.67s_WSW_6.3kmh_hm_20241115_150345.png;299
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160342.png;299
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150543.png;299
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140315.png;299
ESE_0.82m_4.88s_WSW_6.9kmh_mh_20241115_140514.png;298
ESE_0.85m_5.24s_W_7.3kmh_lm_20241115_110148.png;298
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130352.png;298
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150114.png;298
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150411.png;298
E_1.17m_4.7s_N_13.0kmh_mh_20241114_130527.png;298
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130341.png;297
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130430.png;297
E_1.17m_4.7s_N_13.0kmh_mh_20241114_130114.png;297
E_1.18m_4.63s_N_12.0kmh_mh_20241114_120516.png;297
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150237.png;297
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_122018.png;297
E_1.18m_4.57s_N_11.7kmh_lm_20241114_110132.png;296
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100157.png;296
E_1.19m_4.86s_NNW_14.1kmh_hm_20241114_160123.png;296
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121705.png;296
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_090255.png;296
E_1.18m_4.57s_N_11.7kmh_lm_20241114_110023.png;295
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130305.png;295
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130356.png;295
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121641.png;295
SE_2.94m_6.44s_WNW_23.8kmh_ml_20241120_120508.png;295
SE_2.96m_6.43s_W_25.1kmh_lm_20241120_150237.png;295
ESE_0.94m_5.72s_NNW_9.1kmh_lm_20241119_150437.png;294
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130124.png;294
E_0.82m_4.08s_NNW_11.6kmh_hm_20241113_140355.png;294
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160054.png;294
E_1.17m_4.7s_N_13.0kmh_mh_20241114_130228.png;294
E_1.18m_4.63s_N_12.0kmh_mh_20241114_120327.png;294
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100459.png;294
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100206.png;293
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130102.png;293
E_1.18m_4.63s_N_12.0kmh_mh_20241114_120508.png;293
E_1.39m_5.58s_NE_16.1kmh_mh_20241112_100442.png;293
E_1.39m_5.58s_NE_16.1kmh_mh_20241112_100516.png;293
E_1.39m_5.58s_NE_16.1kmh_mh_20241112_100935.png;293
E_1.18m_4.47s_N_11.1kmh_ml_20241114_090556.png;292
E_1.18m_4.57s_N_11.7kmh_lm_20241114_110427.png;292
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130428.png;292
E_1.39m_5.58s_NE_16.1kmh_mh_20241112_100714.png;292
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_090302.png;292
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130357.png;291
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140208.png;291
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140506.png;291
E_1.18m_4.57s_N_11.7kmh_lm_20241114_110105.png;291
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150116.png;291
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130403.png;290
E_1.18m_4.63s_N_12.0kmh_mh_20241114_120031.png;290
E_1.18m_4.63s_N_12.0kmh_mh_20241114_120219.png;290
E_1.19m_4.86s_NNW_14.1kmh_hm_20241114_160525.png;290
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121535.png;290
ESE_0.83m_4.67s_WSW_6.3kmh_hm_20241115_150047.png;289
ESE_0.85m_5.24s_W_7.3kmh_lm_20241115_110423.png;289
E_1.17m_4.7s_N_13.0kmh_mh_20241114_130419.png;289
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140452.png;289
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100150.png;289
E_1.3m_5.58s_NE_15.6kmh_mh_20241112_111425.png;289
